,Gene_symbol,Entrez_ID,Value_count
0,FOLH1B,219595,6069
1,LOC647121,647121,1732
2,BTN3A2,11118,634
3,RNF5P1,286140,592
4,ZNF322B,387328,582
5,TYW1B,441250,556
6,ZFP57,346171,513
7,LOC647288,647288,433
8,LOC285359,285359,350
9,KIAA1967,57805,306
10,CNOT7,29883,303
11,XPO7,23039,283
12,ERI1,90459,262
13,BIN3,55909,258
14,INTS10,55174,253
15,MCPH1,79648,250
16,TNKS,8658,246
17,FKBP9L,360132,240
18,VPS37A,137492,240
19,CHMP7,91782,240
20,R3HCC1,203069,225
21,MTMR9,66036,218
22,FDFT1,2222,217
23,FAM160B2,64760,213
24,INTS9,55756,211
25,REEP4,80346,206
26,CCDC25,55246,195
27,NEIL2,252969,187
28,PCM1,5108,182
29,ENTPD4,9583,180
30,ATP6V1B2,526,179
31,POLR3D,661,179
32,PPP2R2A,5520,173
33,PINX1,54984,167
34,LONRF1,91694,161
35,DCTN6,10671,161
36,ZNF117,51351,160
37,WRN,7486,158
38,TRIM35,23087,158
39,AGAP7,653268,157
40,ERICH1,157697,157
41,MED4,29079,156
42,KCTD9,54793,153
43,FBXO25,26260,152
44,TMEM66,51669,147
45,CDCA2,157313,145
46,LEPROTL1,23484,145
47,AGPAT5,55326,145
48,C13orf34,79866,142
49,DIS3,22894,139
50,SUCLA2,8803,136
51,PBK,55872,136
52,RNF219,79596,134
53,KIAA1704,55425,133
54,CDC16,8881,132
55,ELP3,55140,131
56,ESCO2,157570,131
57,GTF2E2,2961,129
58,RPL23AP53,644128,127
59,NUFIP1,26747,127
60,ARHGEF7,8874,123
61,COG3,83548,121
62,NDFIP2,54602,120
63,UCHL3,7347,119
64,TMPPE,643853,118
65,MAK16,84549,115
66,ZC3H13,23091,115
67,TUBGCP3,10426,111
68,C13orf23,80209,110
69,TFDP1,7027,110
70,RBM26,64062,109
71,SLC39A14,23516,107
72,UTP14C,9724,106
73,KPNA3,3839,105
74,CUL4A,8451,105
75,UFM1,51569,105
76,PPP2CB,5516,105
77,MRPS31,10240,104
78,PPP3CC,5533,104
79,PCID2,55795,102
80,NUDT15,55270,101
81,CLN8,2055,101
82,SLC25A37,51312,100
83,GTF2F2,2963,99
84,CARKD,55739,99
85,SUGT1,10910,99
86,ZNF828,283489,98
87,STK24,8428,98
88,FKBP1AP1,2282,98
89,C8orf58,541565,97
90,DLAT,1737,96
91,C8orf41,80185,95
92,KBTBD7,84078,95
93,UBAC2,337867,94
94,PIBF1,10464,94
95,WBP4,11193,94
96,COG6,57511,93
97,PCDH17,27253,92
98,VPS36,51028,92
99,NBPF14,25832,91
100,TIMM8B,26521,91
101,TPP2,7174,91
102,AASDHPPT,60496,91
103,IPO5,3843,90
104,XAGE3,170626,90
105,HDAC2,3066,90
106,COMMD6,170622,89
107,TNFRSF10B,8795,88
108,SORBS3,10174,87
109,TCP1,6950,86
110,ZW10,9183,86
111,CUL5,8065,86
112,ARGLU1,55082,86
113,C11orf57,55216,85
114,ASAH1,427,85
115,ATP5L,10632,84
116,ALG9,79796,84
117,FAM48A,55578,84
118,EXTL3,2137,83
119,KBTBD6,89890,82
120,LYRM2,57226,82
121,BNIP3L,665,82
122,EXOC1,55763,82
123,CARS2,79587,81
124,RNF214,257160,79
125,OR2A4,79541,79
126,TNFRSF10A,8797,79
127,NARS,4677,78
128,TXNL1,9352,78
129,PHF11,51131,78
130,HMBOX1,79618,78
131,ORC3L,23595,77
132,ZNF202,7753,77
133,PSMB1,5689,76
134,C13orf1,57213,76
135,NPAT,4863,76
136,AKAP11,11215,76
137,SYNCRIP,10492,76
138,UPF3A,65110,76
139,EXOSC8,11340,76
140,ATG5,9474,76
141,SNX14,57231,75
142,ZNF395,55893,75
143,MTRF1,9617,75
144,MRPL18,29074,75
145,TGDS,23483,75
146,EI24,9538,74
147,TBP,6908,74
148,TRIM13,10206,74
149,CDC40,51362,73
150,ABHD13,84945,73
151,DDX10,1662,73
152,SRPR,6734,73
153,DNAJC3,5611,73
154,TM9SF2,9375,72
155,C1orf144,26099,72
156,URB1,9875,71
157,BUD13,84811,71
158,CEP164,22897,71
159,ERCC5,2073,71
160,ZNF596,169270,71
161,FLJ10661,286042,71
162,ZNF90,7643,71
163,SDHD,6392,70
164,RARS2,57038,70
165,CCNC,892,70
166,NAA16,79612,70
167,SAP18,10284,69
168,DHRS12,79758,69
169,MRE11A,4361,69
170,ALG5,29880,69
171,CWC15,51503,68
172,ANKRD10,55608,68
173,SLC25A15,10166,68
174,INTS6,26512,68
175,PCMT1,5110,68
176,PPP1R3B,79660,68
177,FBXL3,26224,68
178,ANKRD49,54851,67
179,RNGTT,8732,67
180,HYLS1,219844,67
181,CKAP2,26586,67
182,C13orf37,440145,67
183,SFRS18,25957,66
184,USP45,85015,66
185,LAMP1,3916,66
186,TIRAP,114609,65
187,NUDT18,79873,65
188,C18orf55,29090,64
189,AGAP8,728404,64
190,FAM120B,84498,64
191,FNDC3A,22862,64
192,ANKRD54,129138,64
193,ESD,2098,64
194,ARCN1,372,64
195,TXNL4A,10907,64
196,CASP8AP2,9994,64
197,PDCD2,5134,63
198,UBXN8,7993,63
199,SF3B5,83443,63
200,UBE4A,9354,63
201,CEP57,9702,62
202,KIAA0776,23376,62
203,PHF5A,84844,62
204,XRCC6,2547,61
205,VTA1,51534,61
206,HSF2,3298,61
207,HMBS,3145,61
208,ADSL,158,61
209,RNASEH2B,79621,60
210,PAFAH1B2,5049,60
211,ZUFSP,221302,60
212,RHOBTB2,23221,60
213,TPT1,7178,60
214,TOMM22,56993,60
215,RPUSD4,84881,59
216,GTF3A,2971,59
217,FOXRED1,55572,59
218,ZNF259,8882,59
219,ARHGEF10,9639,59
220,CCT6P1,643253,59
221,UQCR10,29796,59
222,NFRKB,4798,59
223,CWF19L2,143884,58
224,STT3A,3703,58
225,RNF26,79102,58
226,MED17,9440,57
227,GGA1,26088,56
228,KIAA1731,85459,56
229,DCUN1D2,55208,56
230,LOC168474,168474,56
231,AKIRIN2,55122,56
232,PUS3,83480,55
233,TXN2,25828,55
234,SEC63,11231,55
235,KIAA1468,57614,55
236,NDUFAF4,29078,54
237,USP28,57646,54
238,VPS4B,9525,54
239,L3MBTL2,83746,54
240,EIF4ENIF1,56478,53
241,ZBTB24,9841,53
242,TSPYL1,7259,53
243,GNRH1,2796,53
244,FBXO16,157574,52
245,KARS,3735,52
246,QRSL1,55278,52
247,SNX3,8724,52
248,DRG1,4733,52
249,GTF2H5,404672,51
250,NUPL1,9818,51
251,GALNT6,11226,51
252,DYNLT1,6993,51
253,VPS26B,112936,51
254,LIG4,3981,51
255,TDRD3,81550,51
256,EED,8726,50
257,HINFP,25988,50
258,FIG4,9896,50
259,LTV1,84946,50
260,SMAD2,4087,50
261,CLN5,1203,50
262,CHEK1,1111,50
263,COX7A2,1347,50
264,CTDP1,9150,50
265,PITPNB,23760,49
266,FGFR1OP,11116,49
267,MTMR6,9107,49
268,THSD1P1,374500,48
269,PTS,5805,48
270,MRPL40,64976,48
271,SFI1,9814,48
272,FDXACB1,91893,48
273,NCAPD3,23310,48
